,actors,date,movie,press_rating,producer,spectators_rating
2467,Melissa Lauren ; Yasmine ; Nacho Vidal ; ,/,Casino - No Limit,,Hervé Bodilis ; ,3.4
2468,Jean-Claude Van Damme ; Rosanna Arquette ; Ted Levine ; ,20 avril 1999,Cavale sans issue,,Robert Harmon ; ,2.5
2469,Alba Rohrwacher ; Pierfrancesco Favino ; Giuseppe Battiston ; ,11 août 2010,Ce que je veux de plus,2.9,Silvio Soldini ; ,3.1
2470,Gina La Piana ; Jennifer Hale ; Tress MacNeille ; ,13 mars 2002,Cendrillon 2: Une vie de princesse (V),,John Kafka ; ,2.5
2471,Zoé Adjani-Vallat ; Jonathan Zaccaï ; Tania Vichkova ; ,1 avril 2015,Cerise,,Jérôme Enrico ; ,3.0
2472,Oliver Reed ; Samantha Eggar ; Art Hindle ; ,10 octobre 1979,Chromosome 3,,David Cronenberg ; ,3.0
2473,Alex Vincent ; Jenny Agutter ; Gerrit Graham ; ,16 janvier 1991,Chucky la poupée de sang,,John Lafia ; ,2.6
2474,Perry King ; Merrie Lynn Ross ; Tim Van Patten ; ,21 février 2006,Class 1984,,Mark L. Lester ; ,3.5
2475,Anna Mouglalis ; Mads Mikkelsen ; Elena Morozova ; ,30 décembre 2009,Coco Chanel & Igor Stravinsky,2.7,Jan Kounen ; ,2.4
2476,Amira Casar ; Hubert Koundé ; Karole Rocher ; ,19 septembre 2001,Comment j'ai tué mon père,3.8,Anne Fontaine ; ,3.0
2477,,/,Conversations avec Poutine,,Oliver Stone ; ,3.5
2478,Charles Bronson ; Lino Ventura ; Jill Ireland ; ,6 janvier 1972,Cosa Nostra,,Terence Young ; ,3.3
2479,Ralph Brown (II) ; Richard Gere ; Gregory Hines ; ,2 janvier 1985,Cotton Club,,Francis Ford Coppola ; ,3.4
2480,Gwyneth Paltrow ; Tim McGraw ; Garrett Hedlund ; ,4 mai 2011,Country Strong,1.3,Shana Feste ; ,3.6
2481,Pierce Brosnan ; Salma Hayek ; Woody Harrelson ; ,9 février 2005,Coup d'éclat,2.5,Brett Ratner ; ,2.2
2482,Franka Potente ; Moritz Bleibtreu ; Herbert Knaup ; ,7 avril 1999,"Cours, Lola, cours",3.1,Tom Tykwer ; ,3.4
2483,Jack Nicholson ; David Morse ; Anjelica Huston ; ,15 novembre 1995,Crossing Guard,,Sean Penn ; ,3.3
2484,Justin Chambers ; Catherine Deneuve ; Mena Suvari ; ,7 novembre 2001,D'Artagnan,2.5,Peter Hyams ; ,1.7
2485,Jeremy Renner ; Bruce Davison ; Matt Newton ; ,13 novembre 2007,Dahmer,,David Jacobson ; ,3.1
2486,Aamir Khan ; Zaira Wasim ; Girish Kulkarni ; ,15 octobre 2017,Dangal,,Nitesh Tiwari ; ,3.4
2487,Shane West ; James Franco ; Marla Sokoloff ; ,19 juillet 2000,Dangereuse séduction,3.0,David Raynr ; ,2.7
2488,Sérigne M'Baye ; Blandine Bury ; Vincent Elbaz ; ,13 avril 2005,Dans tes rêves,3.3,Denis Thybaud ; ,2.4
2489,Liam Neeson ; Frances McDormand ; Colin Friels ; ,14 novembre 1990,Darkman,,Sam Raimi ; ,3.0
2490,Tatsuya Fujiwara ; Kenichi Matsuyama ; Asaka Seto ; ,4 janvier 2008,Death Note Le film,,Shûsuke Kaneko ; ,3.2
2491,Jean Reno ; Juliette Binoche ; Sergi López ; ,30 octobre 2002,Décalage horaire,3.4,Danièle Thompson ; ,1.8
2492,Hrithik Roshan ; Priyanka Chopra ; Kangana Ranaut ; ,1 novembre 2013,Defender,,Rakesh Roshan ; ,2.3
2493,Walter Matthau ; Mason Gamble ; Christopher Lloyd ; ,18 août 1993,Denis la Malice,,Nick Castle ; ,2.6
