,actor,date,movie,press_rating,producer,spectators_rating
184,Hugh Jackman,9 octobre 2013,Prisoners,"3,8",Denis Villeneuve,"4,4"
185,Joaquin Phoenix,19 mars 2014,Her,"3,9",Spike Jonze,"4,1"
186,Philippe Lacheau,16 avril 2014,Babysitting,"3,2",Philippe Lacheau,"4,0"
187,Meryl Streep,26 février 2014,Un été à Osage County,"2,9",John Wells,"3,6"
188,Jack O'Connell,4 juin 2014,Les Poings contre les murs,"3,8",David Mackenzie,"4,0"
189,Mark Wahlberg,1 janvier 2014,Du sang et des larmes,"2,9",Peter Berg,"4,3"
190,Vera Farmiga,21 août 2013,Conjuring : Les dossiers Warren,"3,3",James Wan,"4,2"
191,Leonardo DiCaprio,25 décembre 2013,Le Loup de Wall Street,"4,0",Martin Scorsese,"4,2"
192,Charlotte Gainsbourg,1 janvier 2014,Nymphomaniac - Volume 1,"3,2",Lars von Trier,"3,3"
193,Domhnall Gleeson,6 novembre 2013,Il était temps,"3,2",Richard Curtis,"4,2"
194,Jesse Eisenberg,31 juillet 2013,Insaisissables,"2,3",Louis Leterrier,"4,0"
195,Ralph Fiennes,26 février 2014,The Grand Budapest Hotel,"4,5",Wes Anderson,"4,2"
196,Romain Duris,24 avril 2013,L'Ecume des jours,"3,0",Michel Gondry,"2,6"
197,Danny Trejo,/,Froid comme la vengeance,,Sean Olson,"2,9"
198,Leonardo DiCaprio,15 mai 2013,Gatsby le Magnifique,"2,8",Baz Luhrmann,"4,0"
199,Emmylou Homs,4 décembre 2013,La Reine des neiges,"3,5",Chris Buck,"4,2"
200,Matthew McConaughey,29 janvier 2014,Dallas Buyers Club,"3,9",Jean-Marc Vallée,"4,3"
201,Chiwetel Ejiofor,22 janvier 2014,12 Years a Slave,"4,2",Steve McQueen (II),"4,3"
202,Henry Cavill,19 juin 2013,Man of Steel,"3,3",Zack Snyder,"3,6"
203,Ryan Gosling,20 mars 2013,The Place Beyond the Pines,"3,6",Derek Cianfrance,"4,0"
204,Félix Bossuet,18 décembre 2013,Belle et Sébastien,"2,8",Nicolas Vanier,"4,1"
205,Chris Hemsworth,30 octobre 2013,Thor : Le Monde des ténèbres,"2,8",Alan Taylor,"3,7"
206,Sandra Bullock,23 octobre 2013,Gravity,"4,6",Alfonso Cuarón,"3,9"
207,Mariya Smolnikova,10 septembre 2014,Stalingrad,,Fedor Bondarchuk,"3,2"
208,Bruce Willis,28 août 2013,Red 2,"2,7",Dean Parisot,"3,5"
209,Brad Pitt,3 juillet 2013,World War Z,"2,9",Marc Forster,"3,6"
210,James McAvoy,8 mai 2013,Trance,"2,9",Danny Boyle,"3,8"
211,Ben Stiller,1 janvier 2014,La Vie rêvée de Walter Mitty,"3,2",Ben Stiller,"4,0"
212,Benoît Poelvoorde,9 janvier 2013,Une Histoire d'amour,"2,1",Hélène Fillières,"1,8"
213,Sylvester Stallone,13 novembre 2013,Evasion,"1,6",Mikael Hafstrom,"3,6"
214,Chris Evans,30 octobre 2013,"Snowpiercer, Le Transperceneige","4,1",Joon-Ho Bong,"3,4"
215,Robert De Niro,10 février 2014,Face à face,,Mark Steven Johnson,"2,5"
216,Steve Albert,22 janvier 2014,Le Vent se lève,"4,2",Hayao Miyazaki,"4,1"
217,Christian Clavier,17 avril 2013,Les Profs,"2,2",Pierre-François Martin-Laval,"2,7"
218,Jake Gyllenhaal,27 août 2014,Enemy,"3,5",Denis Villeneuve,"2,9"
219,Virginie Efira,6 mars 2013,20 ans d'écart,"3,6",David Moreau,"3,8"
220,Marine Vacth,21 août 2013,Jeune & Jolie,"3,7",François Ozon,"3,2"
221,Christian Bale,15 janvier 2014,Les Brasiers de la Colère,"2,8",Scott Cooper,"3,5"
222,Tom Cruise,10 avril 2013,Oblivion,"2,9",Joseph Kosinski,"3,6"
223,Forest Whitaker,11 septembre 2013,Le Majordome,"3,2",Lee Daniels,"4,3"
224,Ethan Hawke,7 août 2013,American Nightmare,"2,5",James DeMonaco,"2,6"
225,Jessica Chastain,15 mai 2013,Mamá,"3,1",Andy Muschietti,"3,6"
226,Chris Hemsworth,25 septembre 2013,Rush,"4,0",Ron Howard,"4,4"
227,Valérie Bonneton,2 octobre 2013,Eyjafjallajökull,"2,5",Alexandre Coffre,"2,7"
228,Robert Downey Jr.,24 avril 2013,Iron Man 3,"3,2",Shane Black,"4,0"
229,Matt Damon,14 août 2013,Elysium,"2,7",Neill Blomkamp,"3,4"
230,Charlotte Gainsbourg,29 janvier 2014,Nymphomaniac - Volume 2,"2,8",Lars von Trier,"3,1"
231,Guillaume Gallienne,20 novembre 2013,"Les Garçons et Guillaume, à table !","3,9",Guillaume Gallienne,"3,7"
232,Jacques Gamblin,26 mars 2014,De toutes nos forces,"3,2",Nils Tavernier,"4,1"
233,Karin Viard,22 janvier 2014,Lulu femme nue,"3,8",Solveig Anspach,"3,6"
234,José Garcia,20 février 2013,Vive la France,"1,8",Michaël Youn,"2,3"
235,Jennifer Lawrence,27 novembre 2013,Hunger Games - L'embrasement,"3,5",Francis Lawrence,"4,0"
236,Jason Statham,8 janvier 2014,Homefront,"2,5",Gary Fleder,"3,7"
237,Saoirse Ronan,17 avril 2013,Les Âmes Vagabondes,"2,4",Andrew Niccol,"3,5"
238,Ethan Hawke,2 janvier 2015,Getaway,,Courtney Solomon,"2,4"
239,Chris Pine,12 juin 2013,Star Trek Into Darkness,"3,7",J.J. Abrams,"4,0"
240,Robert Sheehan,12 décembre 2017,The Road Within,,Gren Wells,"4,1"
241,Dylan O'Brien,15 octobre 2014,Le Labyrinthe,"3,4",Wes Ball,"3,8"
242,Eddie Redmayne,21 janvier 2015,Une merveilleuse histoire du temps,"3,3",James Marsh,"4,3"
